file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
sklearn\model_selection\_search.py,_fit,523,606,3dcb873,Raghav RV,2016-12-07 11:13:42,[MRG + 1] ENH Do not materialise CV splits when unnecessary (#7941),7941,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",577,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,38f6a91,Raghav RV,2016-10-30 22:49:17,[MRG + 2] FIX Be robust to non re-entrant/ non deterministic cv.split calls (#7660),7660,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",577,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,868a58b,Raghav RV,2016-10-10 21:33:44,[MRG+1] FIX Make sure GridSearchCV and RandomizedSearchCV are pickle-able (#7594),7594,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",577,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,3619bd3,Raghav RV,2016-09-30 05:53:25,BUGFIX _store train_scores only if return_train_score is True (#7535),7535,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",577,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,b444cc9,Raghav RV,2016-09-27 12:14:33,[MRG+2] Timing and training score in GridSearchCV (#7325),7325,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",577,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,9a12555,Raghav RV,2016-09-11 19:14:41,[MRG+1] ENH/MNT Rename labels --> groups in CV tools (#6660),6660,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",577,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,3dcb873,Raghav RV,2016-12-07 11:13:42,[MRG + 1] ENH Do not materialise CV splits when unnecessary (#7941),7941,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",579,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,38f6a91,Raghav RV,2016-10-30 22:49:17,[MRG + 2] FIX Be robust to non re-entrant/ non deterministic cv.split calls (#7660),7660,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",579,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,868a58b,Raghav RV,2016-10-10 21:33:44,[MRG+1] FIX Make sure GridSearchCV and RandomizedSearchCV are pickle-able (#7594),7594,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",579,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,_fit,523,606,3619bd3,Raghav RV,2016-09-30 05:53:25,BUGFIX _store train_scores only if return_train_score is True (#7535),7535,"3dcb873494348a6fa82fe82fdadfa22cbb13efc2, 38f6a91566bc643e2a8f76beb16f3e673faab848, 868a58b2e0ff23427fbfb625e4fc7f997c734480, 3619bd386b66b5131c5b78e21e6775982d2b984d, b444cc9c6457590b33b365185b3eafb0d312b9be, 9a12555e6d14565ba769861a308eb360efbc34d1, 4dbab2680e9157055e04ccfb23180024be9f76d7, afd5d18b0cfe1512a4a8f99835c693b3724cf6ed",579,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
