file,pattern,lineno
sklearn\ensemble\gradient_boosting.py,hasattr,897
sklearn\ensemble\gradient_boosting.py,delattribute,898
sklearn\ensemble\gradient_boosting.py,hasattr,899
sklearn\ensemble\gradient_boosting.py,delattribute,900
sklearn\ensemble\gradient_boosting.py,hasattr,901
sklearn\ensemble\gradient_boosting.py,delattribute,902
sklearn\ensemble\gradient_boosting.py,hasattr,914
sklearn\ensemble\gradient_boosting.py,hasattr,916
sklearn\ensemble\gradient_boosting.py,getattr,923
sklearn\ensemble\gradient_boosting.py,hasattr,1031
sklearn\ensemble\partial_dependence.py,hasattr,249
sklearn\ensemble\weight_boosting.py,hasattr,414
sklearn\ensemble\weight_boosting.py,getattr,481
sklearn\ensemble\weight_boosting.py,getattr,544
sklearn\ensemble\tests\test_bagging.py,getattr,121
sklearn\ensemble\tests\test_bagging.py,getattr,129
sklearn\ensemble\tests\test_bagging.py,hasattr,411
sklearn\ensemble\tests\test_forest.py,hasattr,169
sklearn\ensemble\tests\test_forest.py,hasattr,170
sklearn\ensemble\tests\test_forest.py,hasattr,173
sklearn\ensemble\tests\test_forest.py,hasattr,174
sklearn\ensemble\tests\test_forest.py,hasattr,411
sklearn\ensemble\tests\test_forest.py,hasattr,1122
sklearn\ensemble\tests\test_forest.py,hasattr,1130
sklearn\ensemble\tests\test_gradient_boosting.py,hasattr,300
sklearn\ensemble\tests\test_gradient_boosting.py,getattr,491
sklearn\externals\funcsigs.py,getattr,43
sklearn\externals\funcsigs.py,getattr,45
sklearn\externals\funcsigs.py,getattr,526
sklearn\externals\funcsigs.py,getattr,528
sklearn\externals\funcsigs.py,getattr,530
sklearn\externals\odict.py,delsubscript,90
sklearn\externals\odict.py,delsubscript,117
sklearn\externals\odict.py,hasattr,171
sklearn\externals\odict.py,delsubscript,191
sklearn\externals\odict.py,delsubscript,215
sklearn\externals\six.py,delname,66,X
sklearn\externals\six.py,delattr,89
sklearn\externals\six.py,getattr,130
sklearn\externals\six.py,delname,196,attr
sklearn\externals\six.py,delname,224,attr
sklearn\externals\six.py,delname,241,attr
sklearn\externals\six.py,delname,287,attr
sklearn\externals\six.py,delname,305,attr
sklearn\externals\six.py,delname,320,attr
sklearn\externals\six.py,delattr,346
sklearn\externals\six.py,delsubscript,349
sklearn\externals\six.py,getattr,431
sklearn\externals\six.py,getattr,435
sklearn\externals\six.py,getattr,439
sklearn\externals\six.py,getattr,443
sklearn\externals\six.py,getattr,485
sklearn\externals\six.py,getattr,494
