file,pattern,lineno
scipy\sparse\base.py,hasattr,865
scipy\sparse\base.py,getattr,866
scipy\sparse\base.py,getattr,868
scipy\sparse\bsr.py,getattr,546
scipy\sparse\compressed.py,getattr,455
scipy\sparse\compressed.py,getattr,468
scipy\sparse\compressed.py,getattr,485
scipy\sparse\compressed.py,getattr,501
scipy\sparse\compressed.py,getattr,516
scipy\sparse\compressed.py,hasattr,569
scipy\sparse\compressed.py,getattr,970
scipy\sparse\compressed.py,hasattr,973
scipy\sparse\compressed.py,hasattr,1013
scipy\sparse\compressed.py,getattr,1081
scipy\sparse\data.py,hasattr,81
scipy\sparse\dok.py,hasattr,25
scipy\sparse\dok.py,hasattr,25
scipy\sparse\dok.py,hasattr,26
scipy\sparse\dok.py,delsubscript,282
scipy\sparse\dok.py,delsubscript,488
scipy\sparse\sparsetools.py,delname,17,deprecate
scipy\sparse\csgraph\tests\test_graph_laplacian.py,hasattr,30
scipy\sparse\linalg\interface.py,hasattr,489
scipy\sparse\linalg\interface.py,hasattr,682
scipy\sparse\linalg\interface.py,hasattr,682
scipy\sparse\linalg\interface.py,hasattr,686
scipy\sparse\linalg\interface.py,hasattr,688
scipy\sparse\linalg\_onenormest.py,delname,123,y0
scipy\sparse\linalg\_onenormest.py,delname,411,Y
scipy\sparse\linalg\_onenormest.py,delname,422,S_old
scipy\sparse\linalg\_onenormest.py,delname,427,Z
scipy\sparse\linalg\_onenormest.py,delname,437,h
scipy\sparse\linalg\dsolve\tests\test_linsolve.py,getattr,384
scipy\sparse\linalg\dsolve\tests\test_linsolve.py,delname,386,perm
scipy\sparse\linalg\eigen\arpack\arpack.py,hasattr,886
scipy\sparse\linalg\eigen\arpack\arpack.py,hasattr,944
scipy\sparse\linalg\eigen\arpack\arpack.py,getattr,1709
scipy\sparse\linalg\eigen\arpack\tests\test_arpack.py,hasattr,121
scipy\sparse\linalg\isolve\iterative.py,getattr,105
scipy\sparse\linalg\isolve\iterative.py,getattr,106
scipy\sparse\linalg\isolve\iterative.py,getattr,171
scipy\sparse\linalg\isolve\iterative.py,getattr,172
scipy\sparse\linalg\isolve\iterative.py,getattr,232
scipy\sparse\linalg\isolve\iterative.py,getattr,233
scipy\sparse\linalg\isolve\iterative.py,getattr,292
scipy\sparse\linalg\isolve\iterative.py,getattr,293
scipy\sparse\linalg\isolve\iterative.py,getattr,435
scipy\sparse\linalg\isolve\iterative.py,getattr,436
scipy\sparse\linalg\isolve\iterative.py,hasattr,564
scipy\sparse\linalg\isolve\iterative.py,getattr,589
scipy\sparse\linalg\isolve\iterative.py,getattr,590
scipy\sparse\linalg\isolve\lgmres.py,delsubscript,271
scipy\sparse\linalg\isolve\utils.py,hasattr,89
scipy\sparse\linalg\isolve\utils.py,hasattr,117
scipy\sparse\linalg\isolve\utils.py,hasattr,121
scipy\sparse\linalg\tests\test_interface.py,hasattr,21
scipy\sparse\linalg\tests\test_interface.py,hasattr,241
scipy\sparse\linalg\tests\test_interface.py,hasattr,283
scipy\sparse\linalg\tests\test_interface.py,hasattr,284
scipy\sparse\linalg\tests\test_interface.py,hasattr,285
scipy\sparse\tests\test_base.py,hasattr,71
scipy\sparse\tests\test_base.py,getattr,140
scipy\sparse\tests\test_base.py,getattr,144
scipy\sparse\tests\test_base.py,getattr,1387
scipy\sparse\tests\test_base.py,getattr,1507
scipy\sparse\tests\test_base.py,getattr,1619
scipy\sparse\tests\test_base.py,hasattr,2526
scipy\sparse\tests\test_base.py,hasattr,3190
scipy\sparse\tests\test_base.py,getattr,3191
scipy\sparse\tests\test_base.py,getattr,3195
scipy\sparse\tests\test_base.py,hasattr,3361
scipy\sparse\tests\test_base.py,getattr,3362
scipy\sparse\tests\test_base.py,getattr,3366
scipy\sparse\tests\test_base.py,getattr,3566
scipy\sparse\tests\test_base.py,hasattr,4113
scipy\sparse\tests\test_base.py,getattr,4116
scipy\sparse\tests\test_base.py,hasattr,4118
scipy\sparse\tests\test_base.py,getattr,4123
scipy\sparse\tests\test_base.py,getattr,4125
scipy\sparse\tests\test_construct.py,hasattr,145
scipy\sparse\tests\test_sparsetools.py,delname,101,r
scipy\sparse\tests\test_sparsetools.py,delname,120,r
scipy\sparse\tests\test_sparsetools.py,delname,123,b
scipy\sparse\tests\test_sparsetools.py,delname,136,data
scipy\sparse\tests\test_sparsetools.py,delname,136,offsets
scipy\sparse\tests\test_sparsetools.py,delname,136,m
scipy\sparse\tests\test_sparsetools.py,delname,136,v
scipy\sparse\tests\test_sparsetools.py,delname,136,r
scipy\sparse\tests\test_sparsetools.py,delname,151,data
scipy\sparse\tests\test_sparsetools.py,delname,151,indptr
scipy\sparse\tests\test_sparsetools.py,delname,151,indices
scipy\sparse\tests\test_sparsetools.py,getattr,152
scipy\sparse\tests\test_sparsetools.py,delname,153,m
scipy\sparse\tests\test_sparsetools.py,delname,173,data
scipy\sparse\tests\test_sparsetools.py,delname,173,indptr
scipy\sparse\tests\test_sparsetools.py,delname,173,indices
scipy\sparse\tests\test_sparsetools.py,getattr,174
scipy\sparse\tests\test_sparsetools.py,delname,175,m
scipy\sparse\tests\test_sparsetools.py,delname,189,r
scipy\sparse\tests\test_sparsetools.py,delname,198,r
scipy\sparse\tests\test_sparsetools.py,delname,207,r
scipy\spatial\distance.py,hasattr,288
scipy\spatial\distance.py,hasattr,290
scipy\spatial\distance.py,delname,2162,X
scipy\spatial\distance.py,delname,2194,X
scipy\spatial\distance.py,delname,2251,X
scipy\spatial\tests\test_distance.py,hasattr,1617
scipy\spatial\tests\test_distance.py,getattr,1618
scipy\spatial\tests\test_qhull.py,hasattr,853
scipy\special\_testutils.py,getattr,26
scipy\special\_testutils.py,hasattr,62
scipy\special\_testutils.py,hasattr,71
scipy\special\_testutils.py,hasattr,135
scipy\special\_testutils.py,hasattr,139
scipy\special\_testutils.py,hasattr,151
scipy\special\__init__.py,delname,642,register_func
scipy\special\tests\test_basic.py,hasattr,236
scipy\special\tests\test_mpmath.py,getattr,416
scipy\special\tests\test_mpmath.py,getattr,418
scipy\stats\kde.py,hasattr,506
scipy\stats\morestats.py,getattr,447
scipy\stats\morestats.py,hasattr,461
scipy\stats\mstats_basic.py,delsubscript,1878
scipy\stats\stats.py,hasattr,464
