file,pattern,lineno
numpy\f2py\crackfortran.py,delsubscript,1067
numpy\f2py\crackfortran.py,delsubscript,1071
numpy\f2py\crackfortran.py,delsubscript,1249
numpy\f2py\crackfortran.py,delsubscript,1612
numpy\f2py\crackfortran.py,delsubscript,1617
numpy\f2py\crackfortran.py,delsubscript,1621
numpy\f2py\crackfortran.py,delsubscript,1624
numpy\f2py\crackfortran.py,delsubscript,1635
numpy\f2py\crackfortran.py,delsubscript,1649
numpy\f2py\crackfortran.py,delsubscript,1662
numpy\f2py\crackfortran.py,delsubscript,1683
numpy\f2py\crackfortran.py,delsubscript,1686
numpy\f2py\crackfortran.py,delsubscript,1697
numpy\f2py\crackfortran.py,delsubscript,1706
numpy\f2py\crackfortran.py,delsubscript,1707
numpy\f2py\crackfortran.py,delsubscript,1710
numpy\f2py\crackfortran.py,delsubscript,1946
numpy\f2py\crackfortran.py,delsubscript,1950
numpy\f2py\crackfortran.py,delsubscript,1951
numpy\f2py\crackfortran.py,delsubscript,2349
numpy\f2py\crackfortran.py,delsubscript,2355
numpy\f2py\crackfortran.py,delsubscript,2496
numpy\f2py\crackfortran.py,delsubscript,2662
numpy\f2py\crackfortran.py,delsubscript,2741
numpy\f2py\crackfortran.py,delsubscript,2745
numpy\f2py\crackfortran.py,delsubscript,2747
numpy\f2py\crackfortran.py,delsubscript,2760
numpy\f2py\crackfortran.py,delsubscript,2832
numpy\f2py\crackfortran.py,delsubscript,2952
numpy\f2py\diagnose.py,getattr,148
numpy\f2py\f2py2e.py,delsubscript,477
numpy\f2py\f2py2e.py,delsubscript,486
numpy\f2py\f2py2e.py,delsubscript,487
numpy\f2py\f2py2e.py,delsubscript,547
numpy\f2py\f2py2e.py,delsubscript,564
numpy\f2py\f2py2e.py,delsubscript,564
numpy\f2py\f2py2e.py,delsubscript,570
numpy\f2py\f2py2e.py,delsubscript,570
numpy\f2py\rules.py,delsubscript,1191
numpy\f2py\__main__.py,delsubscript,9
numpy\f2py\tests\test_array_from_pyobj.py,getattr,57
numpy\f2py\tests\test_array_from_pyobj.py,getattr,71
numpy\f2py\tests\test_array_from_pyobj.py,getattr,157
numpy\f2py\tests\test_array_from_pyobj.py,getattr,216
numpy\f2py\tests\test_callback.py,getattr,88
numpy\f2py\tests\test_callback.py,getattr,130
numpy\f2py\tests\test_return_character.py,getattr,86
numpy\f2py\tests\test_return_character.py,getattr,145
numpy\f2py\tests\test_return_complex.py,getattr,108
numpy\f2py\tests\test_return_complex.py,getattr,167
numpy\f2py\tests\test_return_integer.py,getattr,107
numpy\f2py\tests\test_return_integer.py,getattr,177
numpy\f2py\tests\test_return_logical.py,getattr,116
numpy\f2py\tests\test_return_logical.py,getattr,186
numpy\f2py\tests\test_return_real.py,getattr,88
numpy\f2py\tests\test_return_real.py,getattr,143
numpy\f2py\tests\test_return_real.py,getattr,202
numpy\lib\arraypad.py,delname,813,edge_chunk
numpy\lib\arraypad.py,delname,835,edge_chunk
numpy\lib\arraypad.py,delname,899,edge_chunk
numpy\lib\arraypad.py,delname,919,edge_chunk
numpy\lib\arrayterator.py,getattr,98
numpy\lib\function_base.py,getattr,3748
numpy\lib\function_base.py,getattr,3752
numpy\lib\function_base.py,getattr,3755
numpy\lib\index_tricks.py,delname,327,tempobj
numpy\lib\npyio.py,hasattr,1099
numpy\lib\npyio.py,hasattr,1227
numpy\lib\npyio.py,hasattr,1232
numpy\lib\npyio.py,delsubscript,1493
numpy\lib\recfunctions.py,hasattr,254
numpy\lib\shape_base.py,getattr,667
numpy\lib\shape_base.py,hasattr,669
numpy\lib\shape_base.py,getattr,679
numpy\lib\shape_base.py,hasattr,681
numpy\lib\utils.py,getattr,412
numpy\lib\utils.py,getattr,413
numpy\lib\utils.py,hasattr,496
numpy\lib\utils.py,hasattr,497
numpy\lib\utils.py,hasattr,499
numpy\lib\utils.py,hasattr,551
numpy\lib\utils.py,hasattr,570
numpy\lib\utils.py,getattr,581
numpy\lib\utils.py,hasattr,594
numpy\lib\utils.py,hasattr,605
numpy\lib\utils.py,hasattr,643
numpy\lib\utils.py,hasattr,904
numpy\lib\utils.py,getattr,941
numpy\lib\utils.py,getattr,942
numpy\lib\utils.py,hasattr,965
numpy\lib\utils.py,getattr,983
numpy\lib\utils.py,hasattr,984
numpy\lib\utils.py,getattr,1023
numpy\lib\_datasource.py,delname,455,netfile
numpy\lib\_iotools.py,hasattr,77
numpy\lib\_iotools.py,hasattr,200
numpy\lib\_iotools.py,hasattr,584
numpy\lib\_iotools.py,hasattr,587
numpy\lib\_iotools.py,hasattr,623
numpy\lib\_iotools.py,hasattr,774
numpy\lib\_iotools.py,hasattr,848
numpy\lib\tests\test_format.py,delname,503,ma
numpy\lib\tests\test_format.py,delname,516,ma
numpy\lib\tests\test_format.py,delname,651,ma
numpy\lib\tests\test_format.py,delname,659,ma
numpy\lib\tests\test_io.py,delname,200,a
numpy\lib\tests\test_io.py,delname,204,a
numpy\lib\tests\test_stride_tricks.py,getattr,335
numpy\lib\tests\test__datasource.py,delattribute,106
numpy\lib\tests\test__datasource.py,delattribute,175
numpy\lib\tests\test__datasource.py,delattribute,205
numpy\lib\tests\test__datasource.py,delattribute,270
numpy\lib\tests\test__datasource.py,delattribute,303
