file,method,params,startlineno,endlineno
numpy\_import_tools.py,_get_info_files,"self, package_dir, parent_path, parent_package=None",32,50
numpy\_import_tools.py,_init_info_modules,"self, packages=None",52,103
numpy\_import_tools.py,_get_sorted_names,self,105,129
numpy\_import_tools.py,__call__,"self, *packages, **options",131,244
numpy\_import_tools.py,_execcmd,"self, cmdstr",246,256
numpy\_import_tools.py,_obj2repr,"self, obj",258,266
numpy\_import_tools.py,log,"self, mess",268,270
numpy\_import_tools.py,warn,"self, mess",271,273
numpy\_import_tools.py,error,"self, mess",274,276
numpy\_import_tools.py,_get_doc_title,"self, info_module",278,288
numpy\_import_tools.py,_format_titles,"self, titles, colsep='---'",290,309
numpy\_import_tools.py,get_pkgdocs,self,311,339
numpy\_import_tools.py,_execcmd,"self, cmdstr",342,350
numpy\__init__.py,pkgload,"*packages, **options",176,178
numpy\compat\py3k.py,asunicode,s,23,26
numpy\compat\py3k.py,asbytes,s,28,31
numpy\compat\py3k.py,asstr,s,33,36
numpy\compat\py3k.py,isfileobj,f,38,39
numpy\compat\py3k.py,open_latin1,"filename, mode='r'",41,42
numpy\compat\py3k.py,sixu,s,44,45
numpy\compat\py3k.py,isfileobj,f,60,61
numpy\compat\py3k.py,asunicode,s,63,66
numpy\compat\py3k.py,open_latin1,"filename, mode='r'",68,69
numpy\compat\py3k.py,sixu,s,71,72
numpy\compat\py3k.py,getexception,,75,76
numpy\compat\py3k.py,asbytes_nested,x,78,82
numpy\compat\py3k.py,asunicode_nested,x,84,88
numpy\compat\setup.py,configuration,"parent_package='', top_path=None",5,8
numpy\compat\_inspect.py,ismethod,object,15,26
numpy\compat\_inspect.py,isfunction,object,28,41
numpy\compat\_inspect.py,iscode,object,43,61
numpy\compat\_inspect.py,getargs,co,67,96
numpy\compat\_inspect.py,getargspec,func,98,113
numpy\compat\_inspect.py,getargvalues,frame,115,125
numpy\compat\_inspect.py,joinseq,seq,127,131
numpy\compat\_inspect.py,strseq,"object, convert, join=joinseq",133,140
numpy\compat\_inspect.py,formatargspec,"args, varargs=None, varkw=None, defaults=None, formatarg=str, formatvarargs=(lambda name: ('*' + name)), formatvarkw=(lambda name: ('**' + name)), formatvalue=(lambda value: ('=' + repr(value))), join=joinseq",142,168
numpy\compat\_inspect.py,formatargvalues,"args, varargs, varkw, locals, formatarg=str, formatvarargs=(lambda name: ('*' + name)), formatvarkw=(lambda name: ('**' + name)), formatvalue=(lambda value: ('=' + repr(value))), join=joinseq",170,194
numpy\compat\_inspect.py,convert,"name, locals=locals, formatarg=formatarg, formatvalue=formatvalue",184,186
numpy\compat\tests\test_compat.py,test_isfileobj,,10,21
numpy\core\arrayprint.py,product,"x, y",34,35
numpy\core\arrayprint.py,set_printoptions,"precision=None, threshold=None, edgeitems=None, linewidth=None, suppress=None, nanstr=None, infstr=None, formatter=None",48,171
numpy\core\arrayprint.py,get_printoptions,,173,206
numpy\core\arrayprint.py,_leading_trailing,a,208,225
numpy\core\arrayprint.py,_boolFormatter,x,227,231
numpy\core\arrayprint.py,repr_format,x,234,235
numpy\core\arrayprint.py,_array2string,"a, max_line_width, precision, suppress_small, separator=' ', prefix='', formatter=None",237,326
numpy\core\arrayprint.py,_convert_arrays,obj,328,337
numpy\core\arrayprint.py,array2string,"a, max_line_width=None, precision=None, suppress_small=None, separator=' ', prefix='', style=repr, formatter=None",340,448
numpy\core\arrayprint.py,_extendLine,"s, line, word, max_line_len, next_line_prefix",450,455
numpy\core\arrayprint.py,_formatArray,"a, format_function, rank, max_line_len, next_line_prefix, separator, edge_items, summary_insert",458,526
numpy\core\arrayprint.py,__init__,"self, data, precision, suppress_small, sign=False",529,541
numpy\core\arrayprint.py,fillFormat,"self, data",543,592
numpy\core\arrayprint.py,__call__,"self, x, strip_zeros=True",594,625
numpy\core\arrayprint.py,_digits,"x, precision, format",628,631
numpy\core\arrayprint.py,__init__,"self, data",635,646
numpy\core\arrayprint.py,__call__,"self, x",648,652
numpy\core\arrayprint.py,__init__,"self, precision, sign=False",657,659
numpy\core\arrayprint.py,__call__,"self, x",661,681
numpy\core\arrayprint.py,__init__,"self, precision",685,687
numpy\core\arrayprint.py,__call__,"self, x",689,692
numpy\core\arrayprint.py,__init__,"self, x, precision, suppress_small",696,699
numpy\core\arrayprint.py,__call__,"self, x",701,709
numpy\core\arrayprint.py,__init__,"self, x, unit=None, timezone=None, casting='same_kind'",712,731
numpy\core\arrayprint.py,__call__,"self, x",733,737
numpy\core\arrayprint.py,__init__,"self, data",740,754
numpy\core\arrayprint.py,__call__,"self, x",756,760
numpy\core\defchararray.py,_use_unicode,*args,50,62
numpy\core\defchararray.py,_to_string_or_unicode_array,result,64,69
numpy\core\defchararray.py,_clean_args,*args,71,85
numpy\core\defchararray.py,_get_num_chars,a,87,95
numpy\core\defchararray.py,equal,"x1, x2",98,120
numpy\core\defchararray.py,not_equal,"x1, x2",122,144
numpy\core\defchararray.py,greater_equal,"x1, x2",146,169
numpy\core\defchararray.py,less_equal,"x1, x2",171,193
numpy\core\defchararray.py,greater,"x1, x2",195,217
numpy\core\defchararray.py,less,"x1, x2",219,241
numpy\core\defchararray.py,str_len,a,243,260
numpy\core\defchararray.py,add,"x1, x2",262,286
numpy\core\defchararray.py,multiply,"a, i",288,314
numpy\core\defchararray.py,mod,"a, values",316,340
numpy\core\defchararray.py,capitalize,a,342,377
numpy\core\defchararray.py,center,"a, width, fillchar=' '",380,413
numpy\core\defchararray.py,count,"a, sub, start='0', end=None",416,459
numpy\core\defchararray.py,decode,"a, encoding=None, errors=None",462,505
numpy\core\defchararray.py,encode,"a, encoding=None, errors=None",508,540
numpy\core\defchararray.py,endswith,"a, suffix, start='0', end=None",543,584
numpy\core\defchararray.py,expandtabs,"a, tabsize='8'",587,619
numpy\core\defchararray.py,find,"a, sub, start='0', end=None",622,654
numpy\core\defchararray.py,index,"a, sub, start='0', end=None",657,682
numpy\core\defchararray.py,isalnum,a,684,706
numpy\core\defchararray.py,isalpha,a,708,730
numpy\core\defchararray.py,isdigit,a,732,754
numpy\core\defchararray.py,islower,a,756,779
numpy\core\defchararray.py,isspace,a,781,804
numpy\core\defchararray.py,istitle,a,806,828
numpy\core\defchararray.py,isupper,a,830,853
numpy\core\defchararray.py,join,"sep, seq",855,877
numpy\core\defchararray.py,ljust,"a, width, fillchar=' '",880,912
numpy\core\defchararray.py,lower,a,915,948
numpy\core\defchararray.py,lstrip,"a, chars=None",951,1005
numpy\core\defchararray.py,partition,"a, sep",1008,1040
numpy\core\defchararray.py,replace,"a, old, new, count=None",1043,1072
numpy\core\defchararray.py,rfind,"a, sub, start='0', end=None",1075,1104
numpy\core\defchararray.py,rindex,"a, sub, start='0', end=None",1107,1133
numpy\core\defchararray.py,rjust,"a, width, fillchar=' '",1136,1168
numpy\core\defchararray.py,rpartition,"a, sep",1171,1203
numpy\core\defchararray.py,rsplit,"a, sep=None, maxsplit=None",1206,1240
numpy\core\defchararray.py,rstrip,"a, chars=None",1243,1284
numpy\core\defchararray.py,split,"a, sep=None, maxsplit=None",1287,1318
numpy\core\defchararray.py,splitlines,"a, keepends=None",1321,1347
numpy\core\defchararray.py,startswith,"a, prefix, start='0', end=None",1350,1378
numpy\core\defchararray.py,strip,"a, chars=None",1381,1426
numpy\core\defchararray.py,swapcase,a,1429,1463
numpy\core\defchararray.py,title,a,1466,1502
numpy\core\defchararray.py,translate,"a, table, deletechars=None",1505,1538
numpy\core\defchararray.py,upper,a,1541,1574
numpy\core\defchararray.py,zfill,"a, width",1577,1604
numpy\core\defchararray.py,isnumeric,a,1607,1635
numpy\core\defchararray.py,isdecimal,a,1638,1666
numpy\core\defchararray.py,__new__,"subtype, shape, itemsize='1', unicode=False, buffer=None, offset='0', strides=None, order='C'",1811,1844
numpy\core\defchararray.py,__array_finalize__,"self, obj",1846,1849
numpy\core\defchararray.py,__getitem__,"self, obj",1851,1861
numpy\core\defchararray.py,__eq__,"self, other",1868,1876
numpy\core\defchararray.py,__ne__,"self, other",1878,1886
numpy\core\defchararray.py,__ge__,"self, other",1888,1896
numpy\core\defchararray.py,__le__,"self, other",1898,1906
numpy\core\defchararray.py,__gt__,"self, other",1908,1916
numpy\core\defchararray.py,__lt__,"self, other",1918,1926
numpy\core\defchararray.py,__add__,"self, other",1928,1937
numpy\core\defchararray.py,__radd__,"self, other",1939,1948
numpy\core\defchararray.py,__mul__,"self, i",1950,1959
numpy\core\defchararray.py,__rmul__,"self, i",1961,1970
numpy\core\defchararray.py,__mod__,"self, i",1972,1982
numpy\core\defchararray.py,__rmod__,"self, other",1984,1985
numpy\core\defchararray.py,argsort,"self, axis='-1', kind='quicksort', order=None",1987,2005
numpy\core\defchararray.py,capitalize,self,2008,2018
numpy\core\defchararray.py,center,"self, width, fillchar=' '",2020,2029
numpy\core\defchararray.py,count,"self, sub, start='0', end=None",2031,2041
numpy\core\defchararray.py,decode,"self, encoding=None, errors=None",2043,2052
numpy\core\defchararray.py,encode,"self, encoding=None, errors=None",2054,2063
numpy\core\defchararray.py,endswith,"self, suffix, start='0', end=None",2065,2075
numpy\core\defchararray.py,expandtabs,"self, tabsize='8'",2077,2087
numpy\core\defchararray.py,find,"self, sub, start='0', end=None",2089,2099
numpy\core\defchararray.py,index,"self, sub, start='0', end=None",2101,2110
numpy\core\defchararray.py,isalnum,self,2112,2123
numpy\core\defchararray.py,isalpha,self,2125,2136
numpy\core\defchararray.py,isdigit,self,2138,2148
numpy\core\defchararray.py,islower,self,2150,2161
numpy\core\defchararray.py,isspace,self,2163,2174
numpy\core\defchararray.py,istitle,self,2176,2186
numpy\core\defchararray.py,isupper,self,2188,2199
numpy\core\defchararray.py,join,"self, seq",2201,2211
numpy\core\defchararray.py,ljust,"self, width, fillchar=' '",2213,2223
numpy\core\defchararray.py,lower,self,2225,2235
numpy\core\defchararray.py,lstrip,"self, chars=None",2237,2247
numpy\core\defchararray.py,partition,"self, sep",2249,2257
numpy\core\defchararray.py,replace,"self, old, new, count=None",2259,2269
numpy\core\defchararray.py,rfind,"self, sub, start='0', end=None",2271,2282
numpy\core\defchararray.py,rindex,"self, sub, start='0', end=None",2284,2294
numpy\core\defchararray.py,rjust,"self, width, fillchar=' '",2296,2306
numpy\core\defchararray.py,rpartition,"self, sep",2308,2316
numpy\core\defchararray.py,rsplit,"self, sep=None, maxsplit=None",2318,2328
numpy\core\defchararray.py,rstrip,"self, chars=None",2330,2340
numpy\core\defchararray.py,split,"self, sep=None, maxsplit=None",2342,2352
numpy\core\defchararray.py,splitlines,"self, keepends=None",2354,2364
numpy\core\defchararray.py,startswith,"self, prefix, start='0', end=None",2366,2376
numpy\core\defchararray.py,strip,"self, chars=None",2378,2388
numpy\core\defchararray.py,swapcase,self,2390,2400
numpy\core\defchararray.py,title,self,2402,2413
numpy\core\defchararray.py,translate,"self, table, deletechars=None",2415,2427
numpy\core\defchararray.py,upper,self,2429,2439
numpy\core\defchararray.py,zfill,"self, width",2441,2451
numpy\core\defchararray.py,isnumeric,self,2453,2463
numpy\core\defchararray.py,isdecimal,self,2465,2475
numpy\core\defchararray.py,array,"obj, itemsize=None, copy=True, unicode=None, order=None",2478,2637
numpy\core\defchararray.py,asarray,"obj, itemsize=None, unicode=None, order=None",2640,2689
numpy\core\fromnumeric.py,_wrapit,"obj, method, *args, **kwds",43,53
numpy\core\fromnumeric.py,take,"a, indices, axis=None, out=None, mode='raise'",56,124
numpy\core\fromnumeric.py,reshape,"a, newshape, order='C'",128,225
numpy\core\fromnumeric.py,choose,"a, choices, out=None, mode='raise'",228,351
numpy\core\fromnumeric.py,repeat,"a, repeats, axis=None",354,397
numpy\core\fromnumeric.py,put,"a, ind, v, mode='raise'",400,448
numpy\core\fromnumeric.py,swapaxes,"a, axis1, axis2",451,498
numpy\core\fromnumeric.py,transpose,"a, axes=None",501,551
numpy\core\fromnumeric.py,partition,"a, kth, axis='-1', kind='introselect', order=None",554,639
numpy\core\fromnumeric.py,argpartition,"a, kth, axis='-1', kind='introselect', order=None",642,709
numpy\core\fromnumeric.py,sort,"a, axis='-1', kind='quicksort', order=None",712,820
numpy\core\fromnumeric.py,argsort,"a, axis='-1', kind='quicksort', order=None",823,908
numpy\core\fromnumeric.py,argmax,"a, axis=None, out=None",911,968
numpy\core\fromnumeric.py,argmin,"a, axis=None, out=None",971,1028
numpy\core\fromnumeric.py,searchsorted,"a, v, side='left', sorter=None",1031,1088
numpy\core\fromnumeric.py,resize,"a, new_shape",1091,1153
numpy\core\fromnumeric.py,squeeze,"a, axis=None",1156,1198
numpy\core\fromnumeric.py,diagonal,"a, offset='0', axis1='0', axis2='1'",1201,1311
numpy\core\fromnumeric.py,trace,"a, offset='0', axis1='0', axis2='1', dtype=None, out=None",1314,1370
numpy\core\fromnumeric.py,ravel,"a, order='C'",1373,1477
numpy\core\fromnumeric.py,nonzero,a,1480,1561
numpy\core\fromnumeric.py,shape,a,1564,1606
numpy\core\fromnumeric.py,compress,"condition, a, axis=None, out=None",1609,1673
numpy\core\fromnumeric.py,clip,"a, a_min, a_max, out=None",1676,1730
numpy\core\fromnumeric.py,sum,"a, axis=None, dtype=None, out=None, keepdims=False",1733,1830
numpy\core\fromnumeric.py,product,"a, axis=None, dtype=None, out=None, keepdims=False",1833,1843
numpy\core\fromnumeric.py,sometrue,"a, axis=None, out=None, keepdims=False",1846,1862
numpy\core\fromnumeric.py,alltrue,"a, axis=None, out=None, keepdims=False",1865,1879
numpy\core\fromnumeric.py,any,"a, axis=None, out=None, keepdims=False",1882,1960
