<<child>> <<126:4642-4647>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_is_part_of>> <<129:4696-4709>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_is_required>> <<130:4724-4738>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_requires>> <<131:4753-4764>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_is_role>> <<132:4779-4789>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_has_role>> <<133:4804-4815>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_service>> <<134:4830-4840>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<136:4867-4871>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<add_edge>> <<136:4872-4880>> <<function>> <<VARIABLE>> <<LINK>>
<<relation>> <<136:4881-4889>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<136:4896-4904>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<136:4916-4924>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<68:2361-2365>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<graph>> <<68:2366-2371>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_id>> <<68:2373-2378>> <<?>> <<VARIABLE>> <<LINK>>
<<search_tree>> <<71:2446-2457>> <<?>> <<VARIABLE>> <<LINK>>
<<pre>> <<71:2459-2462>> <<?>> <<VARIABLE>> <<LINK>>
