file,lineno,_lineno,kind,message
test\test_filefilter.py,92,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
test\test_library.py,400,36,return," Incompatible return value type (got ""unicode"", expected ""str"")"
test\test_lyrics.py,182,4,assignment," Incompatible types in assignment (expression has type ""List[unicode]"", variable has type ""unicode"")"
test\test_mediafile.py,695,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""float"")"
test\test_mediafile.py,704,8,assignment," Incompatible types in assignment (expression has type ""date"", target has type ""float"")"
test\test_mediafile.py,710,8,assignment," Incompatible types in assignment (expression has type ""date"", target has type ""float"")"
test\test_plugins.py,205,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""unicode"")"
test\test_smartplaylist.py,126,8,assignment," Incompatible types in assignment (expression has type ""Set[Tuple[unicode, Tuple[unicode, None], Tuple[None, None]]]"", variable has type ""None"")"
test\test_smartplaylist.py,127,8,assignment," Incompatible types in assignment (expression has type ""Set[<nothing>]"", variable has type ""None"")"
test\test_smartplaylist.py,155,8,assignment," Incompatible types in assignment (expression has type ""List[Tuple[unicode, Tuple[Any, None], Tuple[Any, None]]]"", variable has type ""None"")"
test\test_template.py,218,8,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
test\test_template.py,221,8,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,545, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,557,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_ui.py,559,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_ui.py,569, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,573, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,603, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,714,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,721,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,725,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,734,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,738,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,778,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,779,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,792,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,793,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,812,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,813,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,823,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,831,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_ui.py,838,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,857,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,858,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,1079,39,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""unicode"")"
test\test_util.py,146,36,return," Incompatible return value type (got ""unicode"", expected ""str"")"
